,Symbol,Description,Exchange,Last Price,Market Cap
147,AMAG,Amag Pharmaceuticals,NASDAQ,0,0
148,AMAL,Amalgamated Bk,NASDAQ,0,0
149,AMAT,Applied Materials,NASDAQ,0,0
150,AMBA,Ambarella Inc,NASDAQ,0,0
151,AMBC,Ambac Financial Grp,NASDAQ,0,0
152,AMBCW,Ambac Financial Grp,NASDAQ,0,0
153,AMCA,Russell 1000 Pure US Rev Ishares ETF,NASDAQ,0,0
154,AMCIU,Amci Acquisition Corp. Unit,NASDAQ,0,0
155,AMCN,Airmedia Group Inc,NASDAQ,0,0
156,AMCX,Amc Networks Cl A,NASDAQ,0,0
157,AMD,Adv Micro Devices,NASDAQ,0,0
158,AMED,Amedisys Inc,NASDAQ,0,0
159,AMEH,Apollo Medical Holdings Inc,NASDAQ,0,0
160,AMGN,Amgen Inc,NASDAQ,0,0
161,AMKR,Amkor Technology,NASDAQ,0,0
162,AMMA,Alliance Mma Inc,NASDAQ,0,0
163,AMNB,American Natl Bksh,NASDAQ,0,0
164,AMOT,Allied Motion Tech,NASDAQ,0,0
165,AMPH,Amphastar Pharma,NASDAQ,0,0
166,AMR,Alta Mesa Resources Inc,NASDAQ,0,0
167,AMRB,American River Bkshs,NASDAQ,0,0
168,AMRH,Ameri Holdings Inc,NASDAQ,0,0
169,AMRHW,Ameri Holdings Inc Warrant,NASDAQ,0,0
170,AMRK,A-Mark Precious Meta,NASDAQ,0,0
171,AMRN,Amarin Corp Ads,NASDAQ,0,0
172,AMRS,Amyris Inc,NASDAQ,0,0
173,AMRWW,Alta Mesa Resources Inc. Wt.,NASDAQ,0,0
174,AMSC,Amer Superconductor,NASDAQ,0,0
175,AMSF,Amerisafe Inc,NASDAQ,0,0
176,AMSWA,Amer Software Inc,NASDAQ,0,0
177,AMTB,Mercantil Bank Holding Class A,NASDAQ,0,0
178,AMTBB,Mercantil Bank Holding Class B,NASDAQ,0,0
179,AMTD,TD Ameritrade HD,NASDAQ,0,0
180,AMTX,Aemetis Inc,NASDAQ,0,0
181,AMWD,Amer Woodmark Cp,NASDAQ,0,0
182,AMZN,Amazon.com Inc,NASDAQ,0,0
183,ANAB,Anaptysbio Inc,NASDAQ,0,0
184,ANAT,Amer Natl Insurance,NASDAQ,0,0
185,ANCB,Anchor Bancorp,NASDAQ,0,0
186,ANCX,Access National Corp,NASDAQ,0,0
187,ANDE,Andersons Inc,NASDAQ,0,0
188,ANGI,Homeservices Inc,NASDAQ,0,0
189,ANGO,Angiodynamics Inc,NASDAQ,0,0
190,ANIK,Anika Therapeutics,NASDAQ,0,0
191,ANIP,ANI Pharma Inc,NASDAQ,0,0
192,ANIX,Anixa Biosciences Inc.,NASDAQ,0,0
193,ANSS,Ansys Inc,NASDAQ,0,0
194,ANY,Sphere 3D Corp,NASDAQ,0,0
195,AOBC,American Outdoor Brands Corp,NASDAQ,0,0
196,AOSL,Alpha and Omega Semi,NASDAQ,0,0
197,APDN,Applied Dna Scns,NASDAQ,0,0
198,APDNW,Applied Dna Sci Wrnt,NASDAQ,0,0
199,APEI,American Pub. Edu.,NASDAQ,0,0
200,APEN,Apollo Endosurgery Inc,NASDAQ,0,0
201,APLS,Apellis Pharmaceuticals Inc,NASDAQ,0,0
202,APOG,Apogee Entrpr Inc,NASDAQ,0,0
203,APOP,Cellect Biotechnology Ltd,NASDAQ,0,0
204,APOPW,Cellect Biotechnology Ltd,NASDAQ,0,0
205,APPF,Appfolio Cl A,NASDAQ,0,0
206,APPN,Appian Corporation Class A,NASDAQ,0,0
207,APPS,Digital Turbine,NASDAQ,0,0
208,APRI,Apricus Biosc Inc,NASDAQ,0,0
209,APTI,Apptio Inc,NASDAQ,0,0
210,APTO,Aptose Bioscns,NASDAQ,0,0
211,APTX,Aptinyx Inc,NASDAQ,0,0
212,APVO,Aptevo Therapeutics Inc,NASDAQ,0,0
213,APWC,Asia Pacific Wire & Cable,NASDAQ,0,0
214,AQB,Aquabounty Technologies Inc,NASDAQ,0,0
215,AQMS,Aqua Metals Inc,NASDAQ,0,0
216,AQST,Aquestive Therapeutics Inc,NASDAQ,0,0
217,AQXP,Aquinox Pharmaceutic,NASDAQ,0,0
218,ARAV,Aravive Inc.,NASDAQ,0,0
219,ARAY,Accuray Incorporated,NASDAQ,0,0
220,ARCB,Arcbest Corp,NASDAQ,0,0
221,ARCC,Ares Capital Corp,NASDAQ,0,0
222,ARCE,Arco Platform Limited Class A,NASDAQ,0,0
223,ARCI,Applnc Rcycl Ct Amer,NASDAQ,0,0
224,ARCT,Arcturus Therapeutics Ltd,NASDAQ,0,0
225,ARCW,Arc Group Worldwide,NASDAQ,0,0
226,ARDM,Aradigm Corp,NASDAQ,0,0
227,ARDS,Aridis Pharmaceuticals Inc,NASDAQ,0,0
228,ARDX,Ardelyx Inc,NASDAQ,0,0
229,AREX,Approach Res. Inc,NASDAQ,0,0
230,ARGX,Argenx Se Ads,NASDAQ,0,0
231,ARII,American Railcar Ind,NASDAQ,0,0
232,ARKR,Ark Restaurants Cp,NASDAQ,0,0
233,ARLP,Alliance Resource Pt,NASDAQ,0,0
234,ARNA,Arena Pharmaceutical,NASDAQ,0,0
235,AROW,Arrow Financial Corp,NASDAQ,0,0
236,ARPO,Aerpio Pharmaceuticals Inc,NASDAQ,0,0
237,ARQL,Arqule Inc,NASDAQ,0,0
238,ARRS,Arris Group Inc,NASDAQ,0,0
239,ARRY,Array Biopharma Inc,NASDAQ,0,0
240,ARTNA,Artesian Res Cp A,NASDAQ,0,0
241,ARTW,Art S Way MFG Co I,NASDAQ,0,0
242,ARTX,Arotech Corp,NASDAQ,0,0
243,ARVN,Arvinas Inc.,NASDAQ,0,0
244,ARWR,Arrowhead Pharma,NASDAQ,0,0
245,ARYAU,Arya Sciences Acquisiton Corp. Unit,NASDAQ,0,0
246,ASCMA,Ascent Capital Group,NASDAQ,0,0
247,ASET,Flexshares Real Assets Allocation Index Fund,NASDAQ,0,0
248,ASFI,Asta Funding Inc,NASDAQ,0,0
249,ASLN,Aslan Pharmaceuticals Limited ADR,NASDAQ,0,0
250,ASMB,Assembly Biosciences,NASDAQ,0,0
251,ASML,Asml Hldg NY Reg,NASDAQ,0,0
252,ASNA,Ascena Retail Grp,NASDAQ,0,0
253,ASND,Ascendis Pharma Ads,NASDAQ,0,0
254,ASNS,Arsanis Inc,NASDAQ,0,0
255,ASPS,Altisource Portfolio,NASDAQ,0,0
256,ASPU,Aspen Group Inc,NASDAQ,0,0
257,ASRT,Assertio Therapeutics Inc,NASDAQ,0,0
258,ASRV,Ameriserv Financial,NASDAQ,0,0
259,ASRVP,Ameriserv Fin Cap,NASDAQ,0,0
260,ASTC,Astrotech Corp,NASDAQ,0,0
261,ASTE,Astec Inds Inc,NASDAQ,0,0
262,ASUR,Asure Software,NASDAQ,0,0
263,ASV,Asv Holdings Inc,NASDAQ,0,0
264,ASYS,Amtech Systems Inc,NASDAQ,0,0
265,ATAI,Ata Inc ADR,NASDAQ,0,0
266,ATAX,Amer First Mf Inv,NASDAQ,0,0
267,ATEC,Alphatec Holdings,NASDAQ,0,0
268,ATHN,Athenahealth Inc,NASDAQ,0,0
269,ATHX,Athersys Inc,NASDAQ,0,0
270,ATIS,Attis Industries Inc,NASDAQ,0,0
271,ATISW,Attis Industries Inc. WT,NASDAQ,0,0
272,ATLC,Atlanticus Hldg Cp,NASDAQ,0,0
273,ATLO,Ames Natl Corp,NASDAQ,0,0
274,ATNI,Atn International,NASDAQ,0,0
275,ATNX,Athenex Inc,NASDAQ,0,0
276,ATOM,Atomera Inc,NASDAQ,0,0
277,ATOS,Atossa Genetics Inc,NASDAQ,0,0
278,ATRA,Atara Biotherap,NASDAQ,0,0
279,ATRC,Atricure Inc,NASDAQ,0,0
280,ATRI,Atrion Corp,NASDAQ,0,0
281,ATRO,Astronics Cp,NASDAQ,0,0
282,ATRS,Antares Pharma,NASDAQ,0,0
283,ATSG,Air Transport,NASDAQ,0,0
284,ATTU,Attunity Ltd,NASDAQ,0,0
285,ATVI,Activision Blizzard,NASDAQ,0,0
286,ATXI,Avenue Therapeutics Inc,NASDAQ,0,0
287,AUBN,Auburn Natl Bncp I,NASDAQ,0,0
288,AUDC,Audiocodes Ltd,NASDAQ,0,0
289,AUPH,Aurinia Pharm Ord,NASDAQ,0,0
290,AUTL,Autolus Therapeutics Plc ADR,NASDAQ,0,0
291,AUTO,Autoweb Inc,NASDAQ,0,0
292,AVAV,Aerovironment Inc,NASDAQ,0,0
293,AVCO,Avalon Globocare,NASDAQ,0,0
294,AVDL,Avadel Pharmaceuticals Plc,NASDAQ,0,0
295,AVEO,Aveo Pharmaceuticals,NASDAQ,0,0
296,AVGO,Broadcom Ltd,NASDAQ,0,0
297,AVGR,Avinger Inc,NASDAQ,0,0
298,AVID,Avid Tech Inc,NASDAQ,0,0
299,AVNW,Aviat Networks Inc,NASDAQ,0,0
300,AVRO,Avrobio Inc. Common Stock,NASDAQ,0,0
301,AVT,Avnet Inc,NASDAQ,0,0
302,AVXL,Anavex Lf SC,NASDAQ,0,0
303,AWRE,Aware Inc,NASDAQ,0,0
304,AWSM,Cool Holdings Inc,NASDAQ,0,0
305,AXAS,Abraxas Petro Corp,NASDAQ,0,0
306,AXDX,Accelerate Diagnosti,NASDAQ,0,0
307,AXGN,Axogen Inc,NASDAQ,0,0
308,AXNX,Axonics Modulation Technologies Inc.,NASDAQ,0,0
309,AXON,Axovant Sciences Ltd,NASDAQ,0,0
310,AXSM,Axsome Thera,NASDAQ,0,0
311,AXTI,Axt Inc,NASDAQ,0,0
312,AY,Atlantica Yield Plc,NASDAQ,0,0
313,AYTU,Aytu Bioscience Inc,NASDAQ,0,0
314,AZPN,Aspen Technology,NASDAQ,0,0
315,AZRX,Azurrx Biopharma Inc,NASDAQ,0,0
316,BABY,Natus Medical Inc,NASDAQ,0,0
317,BAND,Bandwidth Inc,NASDAQ,0,0
318,BANF,Bancfirst Corp,NASDAQ,0,0
319,BANFP,Bfc Capital Trust II,NASDAQ,0,0
320,BANR,Banner Corp,NASDAQ,0,0
321,BANX,Stonecastle Fncl Cp,NASDAQ,0,0
322,BASI,Bioanalytical Syst,NASDAQ,0,0
323,BATRA,Liberty Braves CS A,NASDAQ,0,0
324,BATRK,Liberty Braves CS C,NASDAQ,0,0
325,BBBY,Bed Bath & Beyond,NASDAQ,0,0
326,BBGI,Beasley Brdcst Gr,NASDAQ,0,0
327,BBH,Biotech Vaneck ETF,NASDAQ,0,0
328,BBOX,Black Box Cp,NASDAQ,0,0
329,BBSI,Barrett Business S,NASDAQ,0,0
330,BCAC,Bison Capital Acquistion Corp Ordinary Shares,NASDAQ,0,0
331,BCACR,Bison Capital Acquistion Corp Rights,NASDAQ,0,0
332,BCACW,Bison Capital Acquistion Corp Warrant,NASDAQ,0,0
333,BCBP,Bcb Bancorp Inc,NASDAQ,0,0
334,BCLI,Brainstorm Cell,NASDAQ,0,0
335,BCML,Bay Commercial Bk CA,NASDAQ,0,0
336,BCNA,Reality Shares Nasdaq Nexgen Economy China ETF,NASDAQ,0,0
337,BCOM,B Communications Ltd,NASDAQ,0,0
338,BCOR,Blucora Inc,NASDAQ,0,0
339,BCOV,Brightcove Inc,NASDAQ,0,0
340,BCPC,Balchem Cp,NASDAQ,0,0
341,BCRX,Biocryst Pharma Inc,NASDAQ,0,0
342,BCTF,Bancorp 34 Inc,NASDAQ,0,0
343,BDGE,Bridge Bancorp Inc,NASDAQ,0,0
